你好 欢迎
普通话 粤语
面包 蛋糕
辣椒 芥末
手机 电脑
电脑 ipad
蝴蝶 蜜蜂
包子 饺子
保安 保镖
牛奶 豆浆
吉他 琵琶
卷发 直发
楼梯 电梯
玻璃 镜子
图书馆 图书店
同学 老师
公交 地铁
麦克风 音响
钢琴 电子琴
动物 植物
作家 编剧
鸡蛋 鸭蛋
麻辣烫 火锅
盒子 箱子
皇帝 总统
警察 军人
胡子 眉毛
卡车 公交
初恋 初吻
啤酒 香槟
红茶 绿茶
手 脚
浴缸 鱼缸
电动车 摩托车
眉毛 睫毛
筷子 竹签
麻雀 乌鸦
火车 轮船
镜子 玻璃
脸盆 水桶
直尺 三角板
蒙牛 伊利
盗墓笔记 鬼吹灯
散文 小说
树枝 树干
门诊 急诊
天天向上 快乐大本营
零花钱 生活费
夜宵 烧烤
手机 座机
作文 论文
面包 蛋糕
油条 麻花
土豆粉 酸辣粉
蜘蛛侠 蝙蝠侠
酸菜鱼 水煮鱼
结婚 订婚
童话 神话
鼠标 手柄
努力 学习
米饭 面条
馒头 花卷
饺子 馄饨
煎饼 手抓饼
烧麦 煎饺
炸鸡 薯条
汉堡 三明治
寿司 饭团
泡面 米线
粥 豆腐脑
豆浆 牛奶
咖啡 奶茶
果汁 果茶
矿泉水 纯净水
冰淇淋 雪糕
蛋挞 布丁
饼干 薯片
瓜子 花生
橙子 柚子
西瓜 哈密瓜
草莓 樱桃
葡萄 蓝莓
香蕉 芒果
土豆 红薯
洋葱 大蒜
雨伞 遮阳伞
饭碗 盘子
菜刀 剪刀
洗衣机 烘干机
空调 电风扇
沙发 椅子
床垫 被子
牙刷 牙膏
洗发水 沐浴露
帽子 围巾
手表 手环
耳机 音箱
键盘 鼠标
快递 外卖
高考 英语六级考试
铅笔 钢笔
橡皮 修正带
胶水 双面胶
订书机 打孔器
试卷 作业
律师 法官
司机 乘客
画家 摄影师
程序员 设计师
医院 诊所
卧室 客厅
电梯 扶梯
楼梯 台阶
地铁 公交
出租车 网约车
唱歌 跳舞
电影 电视剧
上班 上课
红包 礼物
朋友 同事
邻居 室友
密码 验证码
群聊 私聊
语音通话 视频通话
